Ticker,Momentum_Latest,Momentum_1M_Ago
ANF,-0.13773337009748396,-0.15188516934600743
ACAD,0.23451237682703435,0.3686154934213804
ACIW,0.045718289939173304,-0.012509317450759139
ADMA,-0.1416486451940761,-0.07104786935236104
ATGE,0.4403267757358596,0.31621324505908327
ALSN,-0.0824778782033152,-0.11894524960033441
DOX,-0.05039883735729631,-0.008612368900084322
ABCB,0.17763273000397534,0.1316470635033859
AR,-0.0016397610082220515,-0.04052008345835254
APPF,0.16388822280116547,0.18800135622073494
AIT,0.10695173258998154,0.08865186141860507
ATR,-0.12322794074614554,-0.10630309067936501
AROC,0.07590065098021008,0.05331457059591307
AWI,0.2827748595964009,0.27634716228992035
ABG,0.000602024782419952,0.03251237346321336
ALV,0.26524133551271467,0.2233277449984345
AXTA,-0.129742752078229,-0.07511364971951898
BMI,-0.16951191152286657,-0.13664669017859218
BCPC,-0.0751690515120966,-0.03924516668653173
BANF,0.10238549450085202,0.11902696261370341
OZK,0.14125472243063436,0.14401742042066834
BDC,0.14979673753312453,0.14571141011666508
BGC,0.00960947983000875,0.02506294889867682
BOOT,0.1683270024106016,0.21559461616793435
BOX,0.0006054553805213469,-0.015074240795219861
BYD,0.17493204706056972,0.18472694302754705
BFAM,-0.1117927310980433,-0.050673106435909256
BCO,0.20218673884311267,0.2049493075258626
EAT,0.09318855643354815,0.24233640699289202
BRX,0.03759129409529396,0.04741263429728067
CZR,-0.15377046019461452,-0.16151620443882891
CALM,0.06837712726210883,0.34060817557355366
CTRE,0.17554931658015502,0.2110725099458351
KMX,-0.19474743269539502,-0.15555791773624952
CUK,0.30342099479977647,0.3915985054069796
CVCO,0.21746167609641928,0.17202944575259937
SKY,-0.1062604269874654,-0.06307331149805415
GTLS,0.25165165247194465,0.19046376911729218
CHH,-0.16084781140272425,-0.1080723911986842
CHDN,-0.16286178600547935,-0.11579056797292046
CRUS,0.1615499993345169,0.04729733340101627
CGNX,0.3034942737747992,0.2176046890677638
COLB,0.059187601432959494,0.07107037635732993
CBSH,-0.04928278910124482,-0.02064184279764063
BVN,0.4904497946893532,0.41368019895179575
CORT,0.4593401868641074,0.2560780849920131
CRVL,-0.2351657015439034,-0.15924656193726286
CFR,0.01521621735517995,0.026768299831781174
DSGX,-0.04055525097812549,-0.09179678722969757
DLB,-0.04368712810002595,-0.05189156577999536
DORM,0.20437976978985023,0.2810607247606563
DY,0.4304330906554041,0.2861694269091856
EGO,0.5967196770269082,0.4435975245557735
ENPH,-0.317132791990172,-0.28691816814892634
NPO,0.21678315168286622,0.19569996399040784
ENSG,0.1309790081452467,0.19793077533293735
EPAM,-0.18839432615851653,-0.08539512623261714
ESE,0.38326365899344017,0.2794382035861921
EXLS,0.006500306280437784,0.00088399777610213
FNB,0.11203427510884123,0.12448659443433663
FRT,-0.00914954758050135,-0.011962843121332977
FSS,0.29668812739887174,0.28212224110337636
FHI,0.26220918125607695,0.32468849180891746
FFIN,-0.06598299260005329,0.012953388399551291
AG,0.7155281266320117,0.48477786261095035
FCFS,0.2411187174618886,0.24837189115499764
FSV,0.07037330314530241,0.09333629501523481
FLS,0.10056813564179012,0.0015568858969867926
FLR,-0.028627469373567683,-0.13049065768508133
GAP,0.06824789013044197,-0.0007369375551740775
GIL,0.20085304726948133,0.12621143978970206
GBCI,0.07375992101609005,0.05559088757631092
GMED,-0.1761940289348966,-0.09166908834960441
GHC,0.26374240173636787,0.1889830276246109
LOPE,0.24503605038339518,0.19119633240579517
HALO,0.3381242218114639,0.28983477412798786
THG,0.09319092199143672,0.08286491706559374
HR,0.0996180284479812,0.10481880915999083
HQY,0.0408405171915112,-0.06918521069701473
HOMB,0.016324735661237978,0.03799458100518081
HBM,0.5113613297089339,0.42484150077109256
IESC,0.7061791054747509,0.493555745926769
INGR,-0.08750683301919501,-0.037181909872047524
IBP,0.2581546684686654,0.3609048697336773
IDCC,0.76163681074761,0.4074604027028526
IBOC,0.06284453548932886,0.08897069970795142
ITRI,0.08247448510270536,0.0848255987777985
KBR,-0.09620788659740227,-0.06705375774708919
KRC,0.21338808204630805,0.17735487762773822
KEX,-0.21052729526584452,-0.12023378477405337
KNX,-0.16569217018232982,-0.09550595704861183
LAZ,0.14599354885077293,0.1589190765072848
LPL,0.3708062851358437,0.23862758552762625
LNW,-0.0866637253036668,-0.07812356068829278
LAD,0.02016828583150083,0.04243366633686121
MAIN,0.17370191044030753,0.21644577436552126
MAT,-0.10758338117206978,-0.040335204120156766
MRCY,0.670017580439499,0.5278063405038147
MKSI,0.2661837431745654,0.04997545707304483
MOD,0.2932447864889516,0.2551833357476251
MC,0.13423578671772102,0.08241675584656918
MWA,0.04291117067637227,0.0961991689416013
NNI,0.09749599398512995,0.10436786067221497
NEU,0.36031592898389164,0.40334427527371675
NWS,0.0801115666709314,0.0667228197593829
NXST,0.17253586250119082,0.20886421755690704
NICE,-0.0764535510036016,-0.13561308708155678
NVMI,0.42045061566110203,0.2005356280576079
ORI,0.14405919848666454,0.11609824136192355
OMF,0.17077368920233402,0.20286727347041333
OPCH,-0.05710930351919756,-0.028611138504902534
PCTY,-0.09464653887467496,-0.050625251118337135
PNFP,-0.08928210846562123,-0.07227862695286653
PIPR,0.26417032862407963,0.16043087605717726
PLNT,0.0038347340732030276,0.0863130860867467
PHI,-0.11811025556998456,-0.10838174389124397
BPOP,0.26187042346451184,0.2267377481075823
POST,-0.07678115087778022,0.006382985621858728
PRIM,0.7598139213655248,0.6269637140850378
PB,-0.0797619539444377,-0.04525106022577592
QLYS,0.009839754993248673,-0.0036278530341612657
RMBS,0.8536452412734328,0.3261803851545082
RRC,0.017606122712978168,-0.022026876300940447
RYN,-0.009389814822227227,0.02683095620827276
REXR,0.052152605249385454,0.034732798746774596
R,0.199317709375637,0.19683044268220118
SBRA,0.07274392662629217,0.13680592246518813
SANM,0.38238715964622105,0.40590331536007085
ST,0.010998389104920148,0.060718677715533076
SXT,0.19184024220349147,0.36983162737951747
SFBS,-0.002916917524130014,0.06047684229765375
SSD,0.02791713610837023,0.09936935020917767
SKX,-0.004694761830031991,-0.011337181619292536
SKYW,0.05646833276759271,0.2285759131025102
SWX,0.09187840976727646,0.08168216886291364
SPSC,-0.2769265556466429,-0.24898132204742826
SPXC,0.18585097927559896,0.14948265694973956
STAG,-0.008017452906022692,0.031124152868019905
STWD,0.04643743215679976,0.05946375557849217
STRL,1.0941286804020462,0.7005688502791231
SNEX,0.31326352023066056,0.37253865968931466
LRN,0.20387975965173738,0.4144732023234054
TMHC,0.019340245455077065,0.06626456153534996
TDS,0.1494779722920821,0.25362812179092076
TRNO,-0.036576906493281644,-0.0483583175057241
NYT,0.08143013936095174,0.12969963601627996
TTC,-0.0010648101541675726,0.008911516760533611
TNL,0.23587521232712705,0.24296658948730504
TTMI,1.1127109272883906,0.6757415353463087
UMBF,0.09604290555886692,0.11608551583120333
UBSI,0.01821161443272523,0.039079613727222684
UCB,0.05264122192558844,0.09321854159900753
OLED,-0.07397286532724548,-0.11850669187024035
URBN,0.3224896647011695,0.29478451222379204
VLY,0.18310299885986084,0.1430457393131012
VEON,0.36042972307712146,0.48818994036721436
VSAT,1.3655213901405916,1.9292248919646227
VIRT,-0.05391602359708416,0.1467927777708266
VNO,0.06970596849173764,-0.013479480301487401
WTS,0.2370124689513143,0.24664201672138053
WEX,-0.049935158443450756,0.042869176603049876
WING,-0.17637902368864078,0.0035666667057123514
WTFC,0.10779261462298564,0.1341201079391318
WIX,0.08300162000961642,-0.1671507251016227
WK,0.009763337184606823,0.06378799474323296
ZG,0.060178473748008686,0.1717414041669348
ZION,0.13047880883597193,0.1220592296453481
ZWS,0.261285783970679,0.22660491044694697
